序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
516,002889,东方嘉盛,128.91亿,27.07%,1.30亿,8.41%,0.95,10.32,9.58%,2019-02-28
517,002567,唐人神,151.41亿,9.51%,1.36亿,-56.13%,0.16,4.26,3.96%,2019-02-28
518,300552,万集科技,6.93亿,10.07%,642.19万,-83.29%,0.06,7.10,0.85%,2019-02-28
519,300130,新国都,23.12亿,87.05%,2.31亿,198.58%,0.59,4.43,11.13%,2019-02-28
520,002483,润邦股份,19.71亿,6.98%,"7,100.44万",-16.15%,0.11,3.73,2.86%,2019-02-28
521,002493,荣盛石化,902.60亿,27.57%,16.39亿,-18.15%,0.27,3.33,9.22%,2019-02-28
522,002491,通鼎互联,44.51亿,3.69%,5.74亿,-3.32%,0.45,4.07,11.77%,2019-02-28
523,002488,金固股份,27.20亿,-9.17%,1.70亿,216.47%,0.17,3.94,4.04%,2019-02-28
524,002485,希努尔,17.21亿,122.08%,1.25亿,255.24%,0.23,4.08,5.81%,2019-02-28
525,002482,广田集团,140.19亿,6.83%,3.85亿,-38.17%,0.25,4.55,5.62%,2019-02-28
526,002486,嘉麟杰,8.79亿,-0.40%,"1,755.30万",-39.45%,0.02,1.14,1.84%,2019-02-28
527,300121,阳谷华泰,20.82亿,27.37%,3.67亿,80.60%,1.01,4.55,25.09%,2019-02-28
528,002481,双塔食品,23.59亿,14.56%,"9,602.16万",170.39%,0.08,2.08,3.72%,2019-02-28
529,002479,富春环保,30.07亿,-8.87%,1.23亿,-64.60%,0.14,4.14,3.59%,2019-02-28
530,002472,双环传动,31.53亿,19.52%,1.96亿,-20.52%,0.29,5.23,6.04%,2019-02-28
531,002619,艾格拉斯,9.07亿,7.40%,7.33亿,69.18%,0.40,3.53,11.90%,2019-02-28
532,002530,金财互联,12.72亿,25.70%,3.10亿,37.45%,0.40,5.35,7.50%,2019-02-28
533,002473,圣莱达,1.47亿,21.14%,"1,208.09万",--,0.08,1.85,4.17%,2019-02-28
534,002471,中超控股,76.20亿,2.72%,"8,775.96万",3.54%,0.07,1.47,4.56%,2019-02-28
535,300129,泰胜风能,14.73亿,-6.84%,"1,232.66万",-92.17%,0.02,3.07,0.55%,2019-02-28
536,002569,*ST步森,3.19亿,-13.99%,-1.62亿,--,-1.16,2.35,-39.40%,2019-02-28
537,300547,川环科技,6.11亿,-5.68%,1.37亿,25.72%,1.11,6.39,18.65%,2019-02-28
538,002470,金正大,154.82亿,-25.43%,4.21亿,-41.86%,0.13,3.18,4.44%,2019-02-28
539,300173,智慧松德,4.69亿,-25.34%,-8.36亿,"-1,207.74%",-1.43,1.44,-66.39%,2019-02-28
540,002864,盘龙药业,4.89亿,29.42%,"6,468.72万",43.68%,0.75,7.06,11.10%,2019-02-28
541,002484,江海股份,19.61亿,17.88%,2.49亿,32.82%,0.31,3.98,7.79%,2019-02-28
542,300102,乾照光电,10.30亿,-8.91%,1.82亿,-13.77%,0.26,4.02,6.52%,2019-02-28
543,300245,天玑科技,3.92亿,8.98%,"5,898.79万",3.04%,0.19,4.46,4.26%,2019-02-28
544,002663,普邦股份,37.39亿,4.56%,"3,925.51万",-78.34%,0.02,2.85,0.77%,2019-02-28
545,002709,天赐材料,20.80亿,1.10%,4.59亿,50.50%,1.35,8.32,16.29%,2019-02-28
546,300094,国联水产,46.57亿,13.74%,2.31亿,50.17%,0.29,2.79,11.14%,2019-02-28
547,002464,众应互联,7.96亿,57.55%,1.01亿,-44.73%,0.31,4.52,7.12%,2019-02-28
548,300097,智云股份,9.76亿,6.85%,1.38亿,-20.70%,0.48,6.87,6.96%,2019-02-28
549,300179,四方达,3.77亿,19.78%,"6,566.71万",6.51%,0.13,1.69,7.95%,2019-02-28
550,002460,赣锋锂业,50.72亿,15.70%,12.16亿,-16.56%,1.07,6.04,20.96%,2019-02-28
551,002453,华软科技,20.61亿,39.80%,"2,447.13万",46.16%,0.04,1.58,3.29%,2019-02-28
552,300085,银之杰,13.02亿,12.28%,"3,726.39万",35.11%,0.05,1.91,2.79%,2019-02-28
553,300548,博创科技,2.75亿,-21.23%,"2,044.93万",-73.65%,0.25,7.50,3.30%,2019-02-28
554,300088,长信科技,96.16亿,-11.69%,7.10亿,20.88%,0.31,2.11,15.50%,2019-02-28
555,300272,开能健康,9.01亿,27.61%,3.49亿,449.52%,0.73,2.38,35.67%,2019-02-28
556,002445,ST中南,9.96亿,-36.45%,-22.29亿,-819.11%,-1.59,1.31,-74.87%,2019-02-28
557,002466,天齐锂业,62.44亿,14.16%,22.10亿,2.67%,1.94,8.88,23.06%,2019-02-28
558,300084,海默科技,7.13亿,41.00%,"6,799.15万",326.63%,0.18,4.84,3.71%,2019-02-28
559,002441,众业达,85.55亿,12.54%,2.12亿,8.66%,0.39,6.85,5.56%,2019-02-28
560,300078,思创医惠,12.83亿,15.37%,1.50亿,13.94%,0.19,2.70,7.03%,2019-02-28
561,002613,北玻股份,10.15亿,-10.98%,"3,787.87万",--,0.04,1.58,2.59%,2019-02-28
562,002440,闰土股份,64.21亿,6.28%,13.37亿,42.14%,1.16,6.96,17.88%,2019-02-28
563,002434,万里扬,42.91亿,-14.50%,3.55亿,-44.83%,0.26,4.45,5.82%,2019-02-28
564,002432,九安医疗,6.22亿,-8.17%,"1,123.00万",--,0.03,3.40,0.83%,2019-02-28
565,002459,天业通联,3.54亿,--,541.94万,--,0.01,3.27,0.43%,2019-02-28
566,002447,晨鑫科技,2.38亿,-39.32%,-6.26亿,-330.50%,-0.44,1.13,-35.43%,2019-02-28
567,002424,贵州百灵,31.39亿,21.11%,5.54亿,5.36%,0.39,2.74,14.35%,2019-02-28
568,002428,云南锗业,4.65亿,-5.07%,866.86万,2.66%,0.01,2.28,0.58%,2019-02-28
569,300068,南都电源,80.85亿,-6.39%,2.47亿,-36.20%,0.28,7.04,3.99%,2019-02-28
570,300063,天龙集团,79.80亿,16.06%,-8.63亿,--,-1.19,1.41,-59.36%,2019-02-28
571,002417,深南股份,1.82亿,73.30%,"-4,906.78万",-736.65%,-0.18,1.11,-15.48%,2019-02-28
572,002433,太安堂,33.15亿,2.36%,2.47亿,-15.99%,0.32,6.73,4.90%,2019-02-28
573,300098,高新兴,35.59亿,64.35%,5.40亿,32.95%,0.31,3.17,10.13%,2019-02-28
574,002413,雷科防务,9.89亿,23.65%,1.38亿,-0.80%,0.12,3.47,3.59%,2019-02-28
575,002414,高德红外,10.85亿,6.68%,1.31亿,125.14%,0.21,5.40,3.91%,2019-02-28
576,300061,康旗股份,22.55亿,13.32%,-7.88亿,-356.67%,-1.15,3.42,-27.07%,2019-02-28
577,002409,雅克科技,15.47亿,36.58%,1.33亿,284.88%,0.31,9.02,4.07%,2019-02-28
578,002403,爱仕达,32.51亿,5.65%,1.52亿,-11.00%,0.44,6.50,6.84%,2019-02-28
579,002808,恒久科技,3.19亿,11.29%,"3,420.54万",11.77%,0.18,2.95,6.17%,2019-02-28
580,300059,东方财富,31.23亿,22.64%,9.59亿,50.52%,0.19,3.04,6.32%,2019-02-28
581,002408,齐翔腾达,279.14亿,25.54%,8.55亿,0.38%,0.48,4.11,11.58%,2019-02-28
582,002399,海普瑞,48.09亿,80.09%,6.21亿,373.11%,0.50,4.88,8.98%,2019-02-28
583,002389,航天彩虹,27.19亿,87.93%,2.42亿,37.76%,0.26,6.57,3.98%,2019-02-28
584,002395,双象股份,13.81亿,8.48%,"2,185.53万",54.41%,0.12,4.80,2.58%,2019-02-28
585,002387,维信诺,17.78亿,"5,504.44%","3,677.48万",129.31%,0.03,10.90,0.28%,2019-02-28
586,300057,万顺新材,41.69亿,29.76%,1.22亿,53.48%,0.28,6.11,4.84%,2019-02-28
587,002388,新亚制程,8.33亿,2.33%,"3,521.44万",-48.45%,0.07,2.28,2.85%,2019-02-28
588,002392,北京利尔,31.97亿,40.43%,3.33亿,105.60%,0.28,2.89,10.12%,2019-02-28
589,002630,华西能源,36.48亿,-12.67%,-1.20亿,-159.21%,-0.10,2.64,-3.76%,2019-02-28
590,002421,达实智能,25.60亿,-0.38%,2.37亿,-26.47%,0.12,1.70,7.39%,2019-02-28
591,002382,蓝帆医疗,26.53亿,--,3.33亿,--,0.45,8.08,7.21%,2019-02-28
592,002363,隆基机械,19.01亿,10.27%,"8,203.21万",49.28%,0.20,5.54,3.62%,2019-02-28
593,002379,宏创控股,15.18亿,4.92%,865.05万,-78.06%,0.01,1.36,0.69%,2019-02-28
594,002383,合众思壮,23.06亿,0.46%,1.91亿,-24.37%,0.26,5.20,5.01%,2019-02-28
595,002566,益盛药业,9.77亿,-5.85%,"6,838.04万",13.90%,0.21,5.93,3.74%,2019-02-28
596,002380,科远股份,6.09亿,0.64%,1.14亿,13.13%,0.48,8.65,5.49%,2019-02-28
597,002373,千方科技,72.44亿,165.89%,7.67亿,101.27%,0.54,5.35,10.92%,2019-02-28
598,002374,丽鹏股份,12.52亿,-32.50%,-7.44亿,-873.98%,-0.85,2.78,-26.46%,2019-02-28
599,002361,神剑股份,19.47亿,5.74%,"8,138.29万",-37.02%,0.10,2.18,4.24%,2019-02-28
600,002366,台海核电,13.95亿,-44.79%,3.21亿,-69.18%,0.37,3.44,11.21%,2019-02-28
601,002367,康力电梯,30.92亿,-5.73%,"1,554.78万",-95.10%,0.02,3.95,0.44%,2019-02-28
602,002369,卓翼科技,31.45亿,15.11%,-1.03亿,-596.44%,-0.18,3.42,-5.26%,2019-02-28
603,002510,天汽模,22.43亿,17.05%,2.13亿,115.94%,0.24,2.84,10.01%,2019-02-28
604,002375,亚厦股份,91.41亿,1.34%,3.69亿,2.54%,0.28,5.88,4.82%,2019-02-28
605,002357,富临运业,9.64亿,-10.42%,"3,913.58万",-65.73%,0.12,3.50,3.60%,2019-02-28
606,002455,百川股份,30.27亿,22.79%,1.06亿,1.71%,0.20,2.59,7.86%,2019-02-28
607,002359,*ST北讯,31.94亿,52.41%,"8,452.69万",-60.86%,0.08,5.68,1.38%,2019-02-28
608,002355,兴民智通,18.89亿,1.11%,-2.35亿,-451.88%,-0.38,4.56,-8.90%,2019-02-28
609,002353,杰瑞股份,45.95亿,44.18%,6.12亿,803.22%,0.64,8.78,7.49%,2019-02-28
610,002354,天神娱乐,25.17亿,-18.96%,-75.22亿,-841.15%,-8.32,1.77,-143.62%,2019-02-28
611,300335,迪森股份,17.77亿,-7.75%,1.63亿,-24.79%,0.45,3.76,13.44%,2019-02-28
612,002492,恒基达鑫,2.54亿,13.55%,"5,350.29万",-16.09%,0.13,3.06,4.39%,2019-02-28
613,002348,高乐股份,8.30亿,25.50%,"1,128.28万",-78.81%,0.01,1.36,0.80%,2019-02-28
614,002341,新纶科技,32.44亿,--,3.14亿,--,0.29,4.49,6.89%,2019-02-28
615,002339,积成电子,19.63亿,20.17%,"7,161.48万",8.20%,0.18,4.58,4.04%,2019-02-28
616,002335,科华恒盛,34.26亿,41.97%,"7,419.84万",-82.46%,0.27,12.16,2.21%,2019-02-28
617,002336,*ST人乐,81.25亿,-8.24%,-3.45亿,--,-0.86,3.56,-21.62%,2019-02-28
618,002333,*ST罗普,11.03亿,7.33%,-1.46亿,--,-0.29,2.64,-10.42%,2019-02-28
619,002329,皇氏集团,23.26亿,-1.70%,-6.20亿,"-1,196.03%",-0.74,2.54,-25.46%,2019-02-28
620,002330,得利斯,20.31亿,25.24%,824.20万,6.02%,0.02,2.65,0.62%,2019-02-28
621,002326,永太科技,33.10亿,20.31%,4.62亿,153.54%,0.57,3.69,16.21%,2019-02-28
622,002385,大北农,193.21亿,3.09%,5.24亿,-58.21%,0.13,2.30,5.09%,2019-02-28
623,300025,华星创业,13.64亿,-3.82%,"1,175.59万",--,0.03,1.77,1.57%,2019-02-28
624,300020,银江股份,22.78亿,14.74%,"2,461.90万",-84.43%,0.04,4.99,0.75%,2019-02-28
625,300014,亿纬锂能,43.51亿,45.90%,5.71亿,41.24%,0.67,4.17,17.08%,2019-02-28
626,300013,新宁物流,10.45亿,15.22%,"5,525.91万",-62.05%,0.19,4.73,3.97%,2019-02-28
627,002325,洪涛股份,39.26亿,16.76%,-4.22亿,-405.06%,-0.33,2.56,-12.27%,2019-02-28
628,002321,华英农业,53.55亿,29.95%,1.18亿,93.21%,0.22,4.83,4.67%,2019-02-28
629,002474,榕基软件,8.11亿,11.38%,"3,301.43万",9.64%,0.05,2.34,2.30%,2019-02-28
630,002314,南山控股,70.52亿,6.82%,5.04亿,-21.26%,0.19,2.98,6.43%,2019-02-28
631,002324,普利特,38.29亿,11.98%,"7,921.08万",-54.50%,0.19,5.75,3.52%,2019-02-28
632,002400,省广集团,121.43亿,6.59%,1.90亿,--,0.11,2.99,3.72%,2019-02-28
633,300593,新雷能,4.77亿,37.73%,"3,644.70万",2.37%,0.32,4.98,6.38%,2019-02-28
634,300252,金信诺,26.00亿,14.24%,1.36亿,4.21%,0.24,4.13,5.84%,2019-02-28
635,002313,日海智能,44.20亿,41.42%,"7,169.70万",-31.36%,0.23,6.51,3.56%,2019-02-28
636,002523,天桥起重,14.06亿,12.96%,1.06亿,-10.05%,0.07,1.47,5.03%,2019-02-28
637,002310,东方园林,131.90亿,-13.45%,17.67亿,-18.99%,0.66,4.82,14.59%,2019-02-28
638,300009,安科生物,15.24亿,39.04%,2.66亿,-3.71%,0.27,1.93,14.59%,2019-02-28
639,300066,三川智慧,6.83亿,11.40%,"9,718.14万",21.58%,0.09,1.54,6.24%,2019-02-28
640,300238,冠昊生物,4.58亿,1.61%,"4,628.46万",-18.98%,0.17,4.33,3.90%,2019-02-28
641,002495,佳隆股份,3.19亿,11.14%,"3,790.36万",77.97%,0.04,1.24,3.28%,2019-02-28
642,300053,欧比特,9.06亿,16.33%,"9,492.53万",-27.45%,0.14,4.56,4.62%,2019-02-28
643,300006,莱美药业,15.62亿,21.69%,1.14亿,74.77%,0.14,2.11,6.06%,2019-02-28
644,300117,嘉寓股份,42.27亿,48.29%,"5,734.01万",-0.76%,0.08,1.91,3.87%,2019-02-28
645,300022,吉峰科技,29.40亿,-5.07%,"1,277.23万",--,0.03,0.58,6.09%,2019-02-28
646,300031,宝通科技,21.55亿,42.57%,2.77亿,22.73%,0.70,5.67,11.80%,2019-02-28
647,300091,金通灵,20.16亿,36.19%,1.06亿,-21.77%,0.10,2.03,5.66%,2019-02-28
648,300047,天源迪科,37.65亿,27.06%,2.16亿,38.75%,0.54,7.58,7.37%,2019-02-28
649,002686,亿利达,14.86亿,8.92%,"2,697.64万",-81.23%,0.06,3.38,1.79%,2019-02-28
650,300044,赛为智能,13.00亿,-13.11%,1.37亿,-24.78%,0.18,3.06,5.94%,2019-02-28
651,300064,豫金刚石,13.42亿,-12.45%,1.29亿,-48.38%,0.11,5.78,1.86%,2019-02-28
652,300012,华测检测,26.78亿,26.75%,2.66亿,99.18%,0.16,1.64,10.14%,2019-02-28
653,300021,大禹节水,17.14亿,26.77%,1.19亿,20.56%,0.15,1.83,8.34%,2019-02-28
654,300264,佳创视讯,3.21亿,29.79%,"1,051.84万",--,0.03,1.33,1.92%,2019-02-28
655,002305,南国置业,40.31亿,27.31%,"8,434.42万",47.01%,0.05,2.60,1.87%,2019-02-28
656,002303,美盈森,32.49亿,13.62%,4.07亿,15.62%,0.26,2.93,9.29%,2019-02-28
657,002365,永安药业,10.05亿,7.79%,1.79亿,34.08%,0.61,5.36,12.15%,2019-02-28
658,002301,齐心集团,41.96亿,31.96%,2.11亿,49.73%,0.33,3.94,8.32%,2019-02-28
659,002927,泰永长征,3.47亿,5.72%,"7,314.42万",5.08%,0.62,5.53,11.21%,2019-02-28
660,002422,科伦药业,163.52亿,43.00%,12.13亿,61.61%,0.84,8.86,9.87%,2019-02-28
661,300093,金刚玻璃,6.97亿,16.00%,"1,838.37万",-1.19%,0.09,4.21,2.03%,2019-02-28
662,300095,华伍股份,9.25亿,36.09%,"-9,354.10万",-286.40%,-0.25,3.04,-7.64%,2019-02-28
663,002431,棕榈股份,53.29亿,1.44%,"5,131.67万",-83.04%,0.03,3.73,0.93%,2019-02-28
664,300445,康斯特,2.41亿,18.57%,"6,962.55万",26.61%,0.42,3.23,14.05%,2019-02-28
665,300759,康龙化成,29.08亿,--,3.39亿,--,0.57,3.94,15.68%,2019-02-28
666,300052,中青宝,3.34亿,6.63%,"3,750.07万",-25.27%,0.14,2.84,4.89%,2019-02-28
667,300072,三聚环保,154.76亿,-31.25%,5.08亿,-79.91%,0.22,3.92,5.63%,2019-02-28
668,002504,弘高创意,14.51亿,-18.11%,820.04万,--,0.01,0.94,0.82%,2019-02-28
669,002683,宏大爆破,45.81亿,14.95%,2.14亿,31.60%,0.30,4.30,7.05%,2019-02-28
670,002642,*ST荣联,27.09亿,43.43%,-13.59亿,--,-2.05,4.23,-38.93%,2019-02-28
671,300200,高盟新材,10.15亿,20.03%,"8,316.84万",62.55%,0.32,5.69,5.65%,2019-02-28
672,002294,信立泰,46.50亿,12.00%,14.57亿,0.32%,1.39,6.37,23.41%,2019-02-28
673,002291,星期六,15.32亿,1.87%,"1,405.93万",--,0.04,3.76,0.94%,2019-02-28
674,002811,亚泰国际,22.47亿,24.20%,1.17亿,5.41%,0.65,7.80,8.65%,2019-02-28
675,002782,可立克,10.94亿,18.33%,"8,499.92万",48.03%,0.20,1.95,10.39%,2019-02-28
676,002286,保龄宝,17.30亿,8.59%,"5,115.14万",3.08%,0.14,4.19,3.35%,2019-02-28
677,002285,世联行,75.53亿,-8.48%,4.47亿,-55.42%,0.22,2.61,8.63%,2019-02-28
678,002280,联络互动,139.89亿,3.03%,-6.69亿,"-1,195.50%",-0.31,2.40,-10.63%,2019-02-28
679,300002,神州泰岳,20.22亿,-3.17%,"8,449.85万",-38.14%,0.04,2.67,1.63%,2019-02-28
680,002277,友阿股份,72.51亿,-0.36%,4.54亿,47.90%,0.32,4.82,6.83%,2019-02-28
681,300036,超图软件,15.28亿,23.89%,1.67亿,-15.01%,0.37,4.31,8.96%,2019-02-28
682,002283,天润曲轴,34.04亿,12.60%,3.44亿,3.18%,0.31,3.75,8.46%,2019-02-28
683,002284,亚太股份,39.04亿,-1.51%,744.12万,-91.68%,0.01,3.78,0.26%,2019-02-28
684,002636,金安国纪,36.82亿,0.50%,3.01亿,-43.16%,0.41,3.47,12.70%,2019-02-28
685,002289,*ST宇顺,3.30亿,-17.78%,-1.54亿,--,-0.55,1.13,-39.10%,2019-02-28
686,002344,海宁皮城,17.14亿,-9.13%,3.65亿,21.51%,0.28,5.81,4.59%,2019-02-28
687,002266,浙富控股,11.28亿,-0.35%,1.11亿,29.33%,0.06,1.63,3.52%,2019-02-28
688,300108,吉药控股,9.50亿,31.47%,2.26亿,9.71%,0.34,3.33,10.95%,2019-02-28
689,300233,金城医药,30.08亿,7.89%,2.64亿,-7.91%,0.67,10.27,6.54%,2019-02-28
690,002601,龙蟒佰利,105.33亿,1.72%,22.87亿,-8.26%,1.15,6.11,16.12%,2019-02-28
691,300079,数码科技,15.68亿,16.14%,"8,890.88万",129.45%,0.06,2.58,2.47%,2019-02-28
692,002270,华明装备,11.57亿,-36.03%,1.65亿,-50.88%,0.22,3.03,7.37%,2019-02-28
693,002269,美邦服饰,76.65亿,18.41%,"4,290.86万",--,0.02,1.15,1.50%,2019-02-28
694,002446,盛路通信,14.23亿,48.50%,1.15亿,14.30%,0.15,3.70,4.48%,2019-02-28
695,300680,隆盛科技,2.20亿,45.96%,349.55万,-79.54%,0.05,7.06,1.35%,2019-02-28
696,002268,卫士通,19.31亿,-9.64%,1.40亿,-16.96%,0.17,5.28,3.22%,2019-02-28
697,300051,三五互联,2.36亿,-27.54%,-4.21亿,-681.61%,-1.14,1.40,-55.32%,2019-02-28
698,300054,鼎龙股份,13.38亿,-21.33%,3.03亿,-9.91%,0.32,3.85,8.10%,2019-02-28
699,002342,巨力索具,16.86亿,19.05%,"1,785.16万",--,0.02,2.52,0.74%,2019-02-28
700,002805,丰元股份,2.65亿,-19.03%,"1,630.89万",-57.42%,0.17,5.99,2.83%,2019-02-28
701,002322,理工环科,9.84亿,18.44%,2.62亿,-3.09%,0.68,7.41,8.69%,2019-02-28
702,002419,天虹股份,191.38亿,3.25%,9.04亿,25.92%,0.75,5.47,14.51%,2019-02-28
703,002264,新华都,68.50亿,-1.81%,"1,711.49万",--,0.02,2.41,1.03%,2019-02-28
704,002260,*ST德奥,7.19亿,-5.53%,-1.73亿,--,-0.65,-1.33,--,2019-02-28
705,002560,通达股份,24.21亿,45.57%,342.68万,-77.09%,0.01,3.57,0.23%,2019-02-28
706,300687,赛意信息,9.06亿,27.76%,1.14亿,12.32%,0.79,5.95,13.99%,2019-02-28
707,002255,海陆重工,23.04亿,92.22%,-1.51亿,-249.99%,-0.19,4.47,-4.21%,2019-02-28
708,300542,新晨科技,8.20亿,35.14%,"3,809.91万",6.30%,0.25,4.11,6.24%,2019-02-28
709,002450,*ST康得,96.51亿,-19.47%,4.02亿,-83.98%,0.11,5.20,2.20%,2019-02-28
710,002467,二六三,9.29亿,11.11%,"8,512.36万",174.71%,0.11,2.43,4.59%,2019-02-28
711,002251,步步高,186.60亿,7.47%,1.62亿,7.37%,0.19,8.68,2.51%,2019-02-28
712,002247,聚力文化,35.48亿,14.81%,-22.77亿,-508.77%,-2.69,3.19,-58.16%,2019-02-28
713,002239,奥特佳,42.03亿,-18.55%,"3,379.94万",-91.30%,0.01,1.65,0.65%,2019-02-28
714,002252,上海莱士,18.04亿,-6.41%,-14.69亿,-272.70%,-0.30,2.20,-12.54%,2019-02-28
715,002233,塔牌集团,66.30亿,45.27%,17.21亿,139.37%,1.44,7.53,19.98%,2019-02-28
716,002229,鸿博股份,7.06亿,1.53%,569.88万,-49.01%,0.01,3.21,0.35%,2019-02-28
717,002235,安妮股份,7.22亿,13.19%,"7,874.57万",--,0.13,3.62,3.49%,2019-02-28
718,002647,仁东控股,14.86亿,54.01%,"5,041.00万",--,0.09,1.73,5.71%,2019-02-28
719,002244,滨江集团,210.51亿,52.74%,12.22亿,-28.06%,0.39,4.91,8.31%,2019-02-28
720,002228,合兴包装,121.66亿,92.39%,2.33亿,51.64%,0.20,2.34,8.81%,2019-02-28
721,002550,千红制药,13.22亿,23.53%,2.23亿,21.15%,0.17,1.98,8.84%,2019-02-28
722,002225,濮耐股份,38.63亿,37.25%,2.26亿,917.17%,0.25,2.91,9.14%,2019-02-28
723,002443,金洲管道,48.08亿,24.49%,1.92亿,18.09%,0.37,4.36,8.71%,2019-02-28
724,002297,博云新材,5.10亿,-6.45%,"2,653.08万",--,0.06,3.27,1.72%,2019-02-28
725,002273,水晶光电,23.26亿,8.39%,4.63亿,30.18%,0.54,4.49,12.59%,2019-02-28
726,002219,恒康医疗,38.40亿,12.96%,-13.90亿,-785.37%,-0.75,1.50,-39.79%,2019-02-28
727,002224,三力士,9.24亿,2.42%,"9,248.00万",-43.77%,0.14,2.91,5.18%,2019-02-28
728,002364,中恒电气,9.86亿,13.11%,"7,694.66万",17.85%,0.14,3.93,3.35%,2019-02-28
729,002221,东华能源,489.22亿,49.70%,10.83亿,2.52%,0.66,5.09,13.25%,2019-02-28
730,002863,今飞凯达,28.77亿,10.96%,"6,482.48万",0.47%,0.17,2.53,6.99%,2019-02-28
731,002218,拓日新能,11.22亿,-25.79%,"9,077.01万",-40.97%,0.07,2.33,3.14%,2019-02-28
732,002226,江南化工,29.02亿,75.47%,2.17亿,168.14%,0.17,4.47,3.91%,2019-02-28
733,300229,拓尔思,8.45亿,2.93%,"6,057.76万",-61.52%,0.13,3.90,3.33%,2019-02-28
734,002246,北化股份,23.63亿,8.24%,1.24亿,14.31%,0.23,4.39,5.37%,2019-02-28
735,002220,天宝食品,10.39亿,-29.10%,-1.64亿,-223.25%,-0.21,3.37,-6.13%,2019-02-28
736,002397,梦洁股份,23.48亿,19.54%,"9,272.73万",53.00%,--,2.68,4.55%,2019-02-28
737,002209,达意隆,9.97亿,4.33%,"1,023.96万",-48.30%,0.05,3.30,1.60%,2019-02-28
738,002346,柘中股份,5.49亿,21.07%,"6,390.83万",-75.58%,0.14,4.06,3.27%,2019-02-28
739,002454,松芝股份,36.68亿,-12.14%,1.76亿,-52.44%,0.32,5.24,5.51%,2019-02-28
740,002204,大连重工,65.71亿,2.13%,"1,539.28万",-39.21%,0.01,3.41,0.23%,2019-02-28
741,002733,雄韬股份,29.26亿,4.61%,1.03亿,183.02%,0.29,6.84,4.66%,2019-02-28
742,002583,海能达,70.12亿,27.53%,4.73亿,78.29%,0.26,3.32,8.04%,2019-02-28
743,002407,多氟多,39.45亿,4.70%,"6,591.34万",-74.40%,0.10,5.07,2.16%,2019-02-28
744,002201,九鼎新材,10.72亿,7.85%,"1,794.65万",--,0.05,2.70,2.02%,2019-02-28
745,002197,证通电子,13.32亿,-18.27%,-2.41亿,-639.04%,-0.47,4.68,-9.18%,2019-02-28
746,002198,嘉应制药,5.37亿,15.64%,"3,578.46万",--,0.07,1.55,4.66%,2019-02-28
747,300213,佳讯飞鸿,12.13亿,3.48%,1.34亿,15.51%,0.23,3.27,6.90%,2019-02-28
748,002194,*ST凡谷,11.98亿,-15.93%,1.93亿,--,0.34,2.90,12.23%,2019-02-28
749,002193,如意集团,13.28亿,11.17%,"9,947.75万",38.70%,0.38,9.96,3.85%,2019-02-28
750,002544,杰赛科技,62.67亿,4.52%,"1,574.63万",-92.78%,0.03,3.59,0.75%,2019-02-28
751,603861,白云电器,25.79亿,--,1.70亿,--,0.39,5.40,6.93%,2019-02-28
752,002189,利达光电,25.85亿,--,1.63亿,--,0.68,3.89,18.69%,2019-02-28
753,002304,洋河股份,241.22亿,22.01%,81.05亿,22.83%,5.38,22.32,25.92%,2019-02-28
754,002183,怡亚通,714.23亿,4.09%,2.03亿,-65.67%,0.10,2.87,3.39%,2019-02-28
755,002178,延华智能,11.03亿,-7.41%,-2.67亿,"-1,070.72%",-0.37,1.21,-26.65%,2019-02-28
756,002180,纳思达,219.44亿,1.91%,9.71亿,-5.86%,0.92,4.83,21.33%,2019-02-28
757,002288,超华科技,13.88亿,-3.50%,"4,731.90万",28.39%,0.05,1.66,3.09%,2019-02-28
758,002328,新朋股份,40.83亿,-0.60%,1.00亿,12.47%,0.22,5.53,4.11%,2019-02-28
759,002173,创新医疗,10.63亿,21.34%,"2,821.70万",-81.70%,0.06,8.02,0.78%,2019-02-28
760,002174,游族网络,36.50亿,12.80%,10.17亿,55.12%,1.16,5.05,23.82%,2019-02-28
761,002360,同德化工,8.96亿,26.60%,1.50亿,52.66%,0.51,2.64,13.78%,2019-02-28
762,002166,莱茵生物,6.20亿,-22.67%,"8,339.22万",-60.37%,0.19,2.55,7.71%,2019-02-28
763,002192,融捷股份,3.83亿,37.26%,-687.80万,-118.80%,-0.03,2.94,-0.90%,2019-02-28
764,002175,*ST东网,2.52亿,-38.85%,-4.47亿,--,-0.59,0.80,-54.24%,2019-02-28
765,002169,智光电气,26.92亿,46.68%,"8,111.44万",-35.32%,0.10,3.57,2.91%,2019-02-28
766,002161,远望谷,4.57亿,-8.92%,-1.64亿,"-9,719.10%",-0.22,1.92,-10.69%,2019-02-28
767,002160,常铝股份,42.09亿,-0.90%,-4.32亿,-360.38%,-0.60,3.83,-13.29%,2019-02-28
768,002155,湖南黄金,124.61亿,20.54%,2.77亿,-6.77%,0.23,4.03,5.90%,2019-02-28
769,002156,通富微电,72.53亿,11.78%,1.24亿,-0.76%,0.11,5.31,2.08%,2019-02-28
770,002149,西部材料,17.48亿,9.22%,"5,941.98万",8.77%,0.14,4.23,3.42%,2019-02-28
771,002296,辉煌科技,5.29亿,0.14%,"2,681.63万",--,0.07,3.79,1.91%,2019-02-28
772,002148,北纬科技,2.33亿,-59.15%,"4,174.82万",-68.29%,0.07,2.07,3.45%,2019-02-28
