序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
107,000851,高鸿股份,91.41亿,--,"3,436.64万",--,0.04,3.66,1.05%,2019-04-12
108,000801,四川九洲,37.95亿,19.90%,"8,878.01万","1,118.60%",0.09,2.35,3.73%,2019-04-12
109,000762,西藏矿业,5.00亿,-25.14%,-1.81亿,-623.88%,-0.35,3.79,-8.76%,2019-04-12
110,000690,宝新能源,38.34亿,52.46%,4.63亿,348.81%,0.21,4.07,5.32%,2019-04-12
111,000558,莱茵体育,7.11亿,--,"-6,123.78万",--,-0.05,0.98,--,2019-04-12
112,000556,PT南洋,"8,322.82万",--,875.65万,--,0.04,0.21,10.14%,2019-04-12
113,000518,四环生物,3.96亿,14.29%,"-2,943.96万",-503.92%,-0.03,0.58,-4.80%,2019-04-12
114,000048,*ST康达,34.37亿,16.77%,4.37亿,52.70%,1.12,2.60,54.95%,2019-04-12
115,600517,置信电气,49.29亿,--,"1,937.50万",--,0.01,2.53,0.56%,2019-04-11
116,000967,盈峰环境,130.45亿,--,9.29亿,--,0.41,4.58,7.48%,2019-04-11
117,000713,丰乐种业,19.27亿,33.21%,"5,319.00万",356.57%,0.18,4.79,3.90%,2019-04-11
118,000700,模塑科技,49.73亿,14.66%,"1,101.16万",-91.81%,0.01,2.77,0.40%,2019-04-11
119,000159,国际实业,5.51亿,--,"5,992.01万",--,0.12,4.47,2.83%,2019-04-10
120,000021,深科技,160.61亿,13.03%,5.30亿,-2.07%,0.36,4.27,8.67%,2019-04-10
121,600318,新力金融,5.33亿,--,"5,297.13万",--,0.11,2.14,5.98%,2019-04-10
122,601012,隆基股份,219.88亿,--,25.58亿,--,0.93,5.89,16.71%,2019-04-09
123,600376,首开股份,397.36亿,--,31.67亿,--,1.07,8.88,11.87%,2019-04-09
124,600306,商业城,9.97亿,--,-1.27亿,--,-0.71,0.13,-147.47%,2019-04-03
125,603858,步长制药,136.73亿,--,18.89亿,--,2.13,15.50,13.41%,2019-04-02
126,000507,珠海港,26.15亿,--,1.69亿,--,0.21,3.64,5.95%,2019-04-02
127,600777,新潮能源,47.81亿,--,6.01亿,--,0.09,2.18,4.33%,2019-03-30
128,000837,秦川机床,31.88亿,--,-2.80亿,--,-0.40,3.68,-10.40%,2019-03-29
129,000156,华数传媒,34.24亿,7.34%,6.44亿,0.82%,0.45,7.44,6.12%,2019-03-29
130,601789,宁波建工,155.42亿,--,2.24亿,--,0.23,2.81,8.41%,2019-03-28
131,603416,信捷电气,5.90亿,21.89%,1.51亿,23.26%,1.08,7.56,15.18%,2019-03-27
132,603520,司太立,8.90亿,--,"9,616.12万",--,0.80,7.45,11.05%,2019-03-26
133,000829,天音控股,424.66亿,7.80%,-2.26亿,-205.08%,-0.21,2.40,-8.21%,2019-03-26
134,601369,陕鼓动力,50.39亿,27.05%,3.49亿,44.28%,0.21,3.77,5.69%,2019-03-25
135,603711,香飘飘,32.51亿,--,3.15亿,--,0.79,5.28,15.26%,2019-03-23
136,603157,拉夏贝尔,101.76亿,--,-1.56亿,--,-0.28,6.30,-4.21%,2019-03-23
137,600105,永鼎股份,31.85亿,--,1.78亿,--,0.14,2.18,6.55%,2019-03-23
138,603388,元成股份,12.41亿,47.40%,1.37亿,49.53%,0.69,4.39,16.48%,2019-03-22
139,600098,广州发展,261.65亿,5.53%,7.01亿,3.36%,0.26,5.98,4.34%,2019-03-22
140,603043,广州酒家,25.37亿,--,3.82亿,--,0.95,4.82,21.06%,2019-03-21
141,000028,国药一致,431.22亿,--,12.05亿,--,2.82,24.29,11.59%,2019-03-21
142,601901,方正证券,57.23亿,-3.86%,6.61亿,-54.48%,0.08,4.59,1.76%,2019-03-20
143,600020,中原高速,57.74亿,--,8.00亿,--,0.21,4.21,4.07%,2019-03-20
144,000530,大冷股份,19.64亿,--,1.11亿,--,0.13,3.95,3.21%,2019-03-20
145,000036,华联控股,33.51亿,-15.62%,10.00亿,-26.14%,0.88,4.26,20.38%,2019-03-20
146,600007,中国国贸,31.71亿,14.61%,7.75亿,22.03%,0.77,6.87,11.67%,2019-03-20
147,603387,基蛋生物,6.88亿,--,2.49亿,--,1.15,7.23,20.14%,2019-03-19
148,601777,力帆股份,110.06亿,--,2.52亿,--,0.19,5.82,3.41%,2019-03-19
149,600980,北矿科技,4.72亿,8.31%,"3,387.49万",-23.33%,0.22,3.79,5.91%,2019-03-16
150,600371,万向德农,2.64亿,--,"5,203.23万",--,0.23,2.12,10.92%,2019-03-16
151,603665,康隆达,9.05亿,--,"8,384.20万",--,0.84,9.98,8.59%,2019-03-15
152,600325,华发股份,236.99亿,--,22.66亿,--,1.07,7.01,17.37%,2019-03-15
153,600037,歌华有线,27.25亿,1.39%,6.98亿,-6.99%,0.50,9.38,5.42%,2019-03-15
154,603200,上海洗霸,4.14亿,--,"8,007.92万",--,1.08,9.94,10.45%,2019-03-14
